Modelo,Tarefa,Métrica,Treino,Validação,Teste
Regressão Linear,Regressão,RMSE | MAE | R²,2.4611 | 1.8266 | 0.8873,4.1350 | 1.9743 | 0.7273,8.6328 | 2.4764 | 0.3993
Regressão Logística,Classificação,Accuracy | F1 | AUC,0.9095 | 0.9077 | 0.9766,0.8929 | 0.8868 | 0.9686,0.8869 | 0.8908 | 0.9555
