cluster,age,baseline_weight_kg,baseline_bmi,sleep_hours,motivation_score,years_experience,carb_pct,protein_pct,fat_pct,mean_adherence_pct,weight_change_kg_6m
0,44.04,74.31,26.532,7.071,0.716,15.506,73.0,21.0,30.0,76.287,-20.416
1,44.352,74.744,26.205,7.09,0.713,17.026,18.0,34.0,42.0,77.829,-23.23
2,43.681,75.815,26.657,7.006,0.713,17.554,30.316,39.977,30.645,78.163,-21.206
3,43.375,75.318,26.495,7.005,0.707,17.382,58.0,17.0,25.0,77.462,-21.554
4,44.947,75.89,26.734,6.987,0.716,17.032,48.0,21.0,30.0,77.193,-21.094
5,43.578,74.567,26.513,6.863,0.76,16.981,51.0,20.0,32.0,79.887,-21.114
6,43.216,75.716,26.813,7.14,0.754,16.956,36.0,32.0,46.0,79.366,-24.116
7,45.139,76.597,26.737,6.96,0.752,18.925,18.0,33.0,42.0,79.14,-24.19
